,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
0,CROC 1H,24:00,7.49,7.27,0.0,200.0,70.0,"12on/12off, 6.5spm",2021-03-09
1,GALAH 3H,24:00,51.04,48.4,12.08,150.0,80.0,,2021-03-09
2,GOANNA 1H,12:00,-16.3,4.0,46.67,50.0,20.0,BOL 7PM yesterday,2021-03-09
3,GREAT WHITE 1H,24:00,56.66,66.11,25.0,125.0,90.0,,2021-03-09
4,GREAT WHITE 2H,24:00,36.7,65.22,25.0,125.0,90.0,,2021-03-09
5,JAVELINA 1H,24:00,18.98,15.09,6.66,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-03-09
6,MANTA 1H,24:00,34.18,30.95,11.02,200.0,80.0,,2021-03-09
7,REEF 3H,24:00,38.68,32.81,3.75,200.0,70.0,6.5spm,2021-03-09
8,RIDGEBACK 1H,24:00,18.38,12.51,1.67,120.0,80.0,7.1spm,2021-03-09
9,SEA WASP 2H,24:00,11.27,27.31,5.0,120.0,80.0,,2021-03-09
10,STINGRAY 2H,24:00,16.71,18.44,6.67,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-03-09
11,THORNY DEVIL 1H,24:00,44.05,107.43,23.75,180.0,100.0,,2021-03-09
12,THORNY DEVIL 2H,24:00,36.12,108.43,20.42,180.0,100.0,,2021-03-09
13,THORNY DEVIL 3H,24:00,14.01,81.87,10.42,150.0,80.0,,2021-03-09
14,WOMBAT 2H,0:00,0.0,0.83,0.0,140.0,90.0,Parted rods,2021-03-09
0,CROC 1H,24:00,5.47,8.46,0.0,200.0,70.0,"12on/12off, 6.5spm",2021-03-08
1,GALAH 3H,24:00,50.13,49.53,10.0,150.0,80.0,,2021-03-08
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-03-08
3,GREAT WHITE 1H,24:00,49.98,66.9,23.33,125.0,90.0,,2021-03-08
4,GREAT WHITE 2H,24:00,45.0,42.86,20.0,125.0,90.0,,2021-03-08
5,JAVELINA 1H,24:00,20.01,15.18,6.67,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-03-08
6,MANTA 1H,24:00,17.43,33.84,21.62,200.0,80.0,,2021-03-08
7,REEF 3H,24:00,31.19,29.47,2.92,200.0,70.0,,2021-03-08
8,RIDGEBACK 1H,24:00,16.71,12.77,1.66,120.0,80.0,7.1spm,2021-03-08
9,SEA WASP 2H,24:00,3.34,13.47,0.0,80.0,80.0,gas locked surged up good pump action,2021-03-08
10,STINGRAY 2H,24:00,40.15,10.55,6.67,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-03-08
11,THORNY DEVIL 1H,24:00,47.27,111.33,23.33,180.0,100.0,,2021-03-08
12,THORNY DEVIL 2H,24:00,41.74,109.6,26.66,180.0,100.0,,2021-03-08
13,THORNY DEVIL 3H,24:00,25.07,91.64,6.67,150.0,80.0,,2021-03-08
14,WOMBAT 2H,0:00,0.0,0.88,0.0,140.0,90.0,Parted rods,2021-03-08
0,CROC 1H,24:00,9.99,20.5,1.26,200.0,70.0,"12on/12off, 6.5spm",2021-03-07
1,GALAH 3H,24:00,46.79,45.95,10.0,150.0,80.0,,2021-03-07
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-03-07
3,GREAT WHITE 1H,24:00,59.99,68.76,30.0,125.0,90.0,,2021-03-07
4,GREAT WHITE 2H,24:00,48.33,66.02,30.0,125.0,90.0,,2021-03-07
5,JAVELINA 1H,24:00,18.33,15.31,8.33,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-03-07
6,MANTA 1H,24:00,34.86,28.82,6.97,200.0,80.0,,2021-03-07
7,REEF 3H,24:00,39.07,54.75,26.66,200.0,70.0,6.5spm,2021-03-07
8,RIDGEBACK 1H,24:00,18.38,12.46,3.34,120.0,80.0,7.1spm,2021-03-07
9,SEA WASP 2H,24:00,5.01,24.11,0.0,120.0,80.0,,2021-03-07
10,STINGRAY 2H,24:00,12.98,19.27,8.33,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-03-07
11,THORNY DEVIL 1H,24:00,46.54,108.61,16.67,180.0,100.0,,2021-03-07
12,THORNY DEVIL 2H,24:00,39.85,110.23,20.0,180.0,100.0,,2021-03-07
13,THORNY DEVIL 3H,24:00,13.37,72.01,4.99,150.0,80.0,,2021-03-07
14,WOMBAT 2H,0:00,0.0,0.89,0.0,140.0,90.0,Parted rods,2021-03-07
0,CROC 1H,24:00,24.97,9.3,0.41,200.0,70.0,"12on/12off, 6.5spm",2021-03-06
1,GALAH 3H,24:00,43.94,46.86,10.0,150.0,80.0,,2021-03-06
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-03-06
3,GREAT WHITE 1H,24:00,40.0,83.2,21.67,125.0,90.0,,2021-03-06
4,GREAT WHITE 2H,24:00,33.34,42.52,25.0,125.0,90.0,,2021-03-06
5,JAVELINA 1H,24:00,21.67,14.89,5.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-03-06
6,MANTA 1H,24:00,15.12,38.52,17.44,200.0,80.0,,2021-03-06
7,REEF 3H,24:00,32.86,29.48,0.42,200.0,70.0,6.5spm,2021-03-06
8,RIDGEBACK 1H,24:00,21.9,13.07,1.66,120.0,80.0,7.1spm,2021-03-06
9,SEA WASP 2H,24:00,8.36,27.45,0.0,150.0,80.0,,2021-03-06
10,STINGRAY 2H,24:00,16.72,4.0,1.67,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-03-06
11,THORNY DEVIL 1H,24:00,43.23,109.9,28.33,160.0,100.0,,2021-03-06
12,THORNY DEVIL 2H,24:00,40.59,109.2,18.34,180.0,100.0,,2021-03-06
13,THORNY DEVIL 3H,24:00,8.36,77.52,8.34,150.0,80.0,,2021-03-06
14,WOMBAT 2H,0:00,0.0,1.75,0.0,140.0,90.0,Parted rods,2021-03-06
0,CROC 1H,24:00,6.66,7.88,6.67,200.0,70.0,"12on/12off, 6.5spm",2021-03-05
1,GALAH 3H,24:00,49.38,44.7,11.67,150.0,80.0,chemical treat,2021-03-05
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-03-05
3,GREAT WHITE 1H,24:00,13.81,33.48,33.33,125.0,90.0,hot oiled(3/5),2021-03-05
4,GREAT WHITE 2H,24:00,56.66,64.68,25.0,125.0,90.0,,2021-03-05
5,JAVELINA 1H,24:00,18.34,15.52,11.67,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-03-05
6,MANTA 1H,24:00,38.35,32.59,18.83,200.0,80.0,,2021-03-05
7,REEF 3H,24:00,29.17,34.52,7.91,200.0,70.0,6.5spm,2021-03-05
8,RIDGEBACK 1H,24:00,20.05,13.01,6.67,120.0,80.0,7.1spm,2021-03-05
9,SEA WASP 2H,24:00,5.01,13.19,0.0,80.0,80.0,chemical treat,2021-03-05
10,STINGRAY 2H,24:00,1.67,4.0,0.0,200.0,100.0,DOA(low sep press),2021-03-05
11,THORNY DEVIL 1H,24:00,43.22,116.01,26.26,180.0,100.0,chemical treat,2021-03-05
12,THORNY DEVIL 2H,24:00,34.46,108.51,19.58,180.0,100.0,chemical treat,2021-03-05
13,THORNY DEVIL 3H,24:00,27.58,86.63,5.0,150.0,80.0,chemical treat,2021-03-05
14,WOMBAT 2H,0:00,0.0,0.81,0.0,140.0,90.0,Parted rods,2021-03-05
0,CROC 1H,24:00,6.66,14.21,7.5,200.0,70.0,"12on/12off, 6.5spm",2021-03-04
1,GALAH 3H,24:00,52.63,41.93,7.92,150.0,80.0,,2021-03-04
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-03-04
3,GREAT WHITE 1H,24:00,71.66,71.95,14.34,125.0,90.0,chem treated,2021-03-04
