CROC 1H,Hrs_On,Oil_BBL,Gas_MCF,Water_BBL,Tubing_PSI,Casing_PSI,Remarks,Date
,24:00:00,26,24,43,150,70,,5/17/2018
,24:00:00,28.27,21,52,150,70,,5/18/2018
,24:00:00,31.6,25,55,150,70,,5/19/2018
,24:00:00,33.26,25,53,150,70,,5/20/2018
,24:00:00,33.27,25,50,150,70,,5/21/2018
,24:00:00,33.26,25,47,150,70,,5/22/2018
,24:00:00,27.85,25,45,150,70,,5/23/2018
,24:00:00,32.62,21,45,150,70,,5/24/2018
,24:00:00,33.26,21,48,150,70,,5/25/2018
,24:00:00,33.28,21,52,150,70,,5/26/2018
,24:00:00,29.94,25,52,150,70,,5/27/2018
,24:00:00,32.75,25,49,150,70,,5/28/2018
,24:00:00,34.92,26,38,150,70,,5/29/2018
,24:00:00,38.25,22,45,150,70,bridle broke/polish rod bent,5/30/2018
,0:00:00,0,22,0,150,70,polish rod and bridle replaced unit restarted at 2pm,5/31/2018
,17:00:00,33.28,20,50,150,70,,6/1/2018
,24:00:00,34.93,25,45,150,70,,6/2/2018
,24:00:00,39.97,25,48,150,70,,6/3/2018
,24:00:00,34.93,21,40,150,70,,6/4/2018
,24:00:00,34.95,22,42,150,70,Chem Treated (6/4),6/5/2018
,24:00:00,34.96,11.9,43,150,70,,6/6/2018
,24:00:00,37.58,20,48,150,70,hot oiled casing and flowline,6/7/2018
,24:00:00,33.29,24,47,150,70,,6/8/2018
,24:00:00,34.93,27,47,150,70,,6/9/2018
,24:00:00,36.59,28,40,150,70,,6/10/2018
,24:00:00,41.58,28,40,150,70,,6/11/2018
,24:00:00,43.26,28,38,150,70,,6/12/2018
,24:00:00,44.71,28,45,150,70,,6/13/2018
,24:00:00,39.92,25,45,150,70,,6/15/2018
,24:00:00,35.77,25,38,150,70,,6/16/2018
,24:00:00,41.58,29,37,150,70,,6/17/2018
,24:00:00,39.92,29,35,150,70,,6/18/2018
,24:00:00,39.92,25,38,150,70,,6/19/2018
,24:00:00,41.69,29,32,150,70,,6/20/2018
,24:00:00,39.5,25,35,150,70,,6/21/2018
,24:00:00,43.24,24,37,150,70,,6/22/2018
,24:00:00,39.92,25,38,150,70,,6/23/2018
,24:00:00,43.27,29,37,150,70,,6/24/2018
,24:00:00,49.41,30,18,150,70,,6/25/2018
,24:00:00,40.53,30,32,150,70,,6/26/2018
,24:00:00,43.25,30,25,150,70,,6/27/2018
,24:00:00,43.25,30,30,150,70,,6/28/2018
,24:00:00,44.91,29,30,150,70,,6/29/2018
,0:00:00,41.59,24,33,150,70,,6/30/2018
,24:00:00,44.49,28,37,150,70,,7/1/2018
,24:00:00,46.7,28,20,150,70,,7/2/2018
,24:00:00,40.37,28,28,150,70,,7/3/2018
,24:00:00,42.06,28,42,150,70,chem treated,7/4/2018
,24:00:00,41.59,28,33,150,70,,7/5/2018
,24:00:00,41.58,28,32,150,70,,7/6/2018
,24:00:00,41.65,28,30,150,70,,7/7/2018
,24:00:00,41.58,29,30,140,70,,7/8/2018
,24:00:00,41.97,28,30,140,70,,7/9/2018
,24:00:00,46.58,30,30,140,70,,7/10/2018
,24:00:00,48.27,28,20,150,70,,7/11/2018
,24:00:00,49.93,31,27,150,70,,7/12/2018
,24:00:00,44.9,48,44,150,70,,7/13/2018
,24:00:00,44.9,28,22,150,70,,7/14/2018
,24:00:00,44.74,28,25,150,70,,7/15/2018
,24:00:00,41.58,29,30,150,70,,7/16/2018
,24:00:00,41.58,30,40,150,70,,7/17/2018
,24:00:00,41.46,31,30,150,70,,7/18/2018
,24:00:00,41.66,30,27,150,70,,7/19/2018
,24:00:00,43.5,31,20,150,70,,7/20/2018
,24:00:00,43.25,31,22,150,70,,7/21/2018
,24:00:00,44.91,31,30,150,70,,7/22/2018
,24:00:00,46.23,32,27,150,70,,7/23/2018
,24:00:00,44.92,32,27,150,70,,7/24/2018
,24:00:00,44.91,32,25,150,70,,7/25/2018
,24:00:00,44.53,32,27,150,70,,7/26/2018
,24:00:00,44.78,32,33,150,70,,7/27/2018
,24:00:00,44.92,33,33,150,70,,7/28/2018
,24:00:00,44.91,33,20,150,70,,7/29/2018
,24:00:00,44.91,36,33,150,70,,7/30/2018
,24:00:00,51.61,35,33,150,70,Chem Treated(7/31),7/31/2018
,24:00:00,49.9,33,27,150,70,,8/1/2018
,24:00:00,51.56,34,20,150,70,,8/2/2018
,24:00:00,0,34,0,0,0,,8/3/2018
,24:00:00,49.71,33,27,150,70,,8/4/2018
,24:00:00,49.9,33,27,150,70,,8/5/2018
,24:00:00,44.91,33,20,150,70,,8/6/2018
,24:00:00,49.9,33,40,150,70,,8/7/2018
,24:00:00,40.38,34,35,150,70,,8/8/2018
,24:00:00,46.09,34,37,150,70,,8/9/2018
,24:00:00,48.24,4,27,150,70,,8/10/2018
,24:00:00,46.58,4,35,150,70,,8/11/2018
,24:00:00,39.94,34,28,150,70,,8/12/2018
,24:00:00,49.62,4,32,150,70,,8/13/2018
,24:00:00,44.91,35,27,150,70,,8/14/2018
,24:00:00,49.9,34,15,150,70,,8/15/2018
,24:00:00,40.33,23,15,150,70,,8/16/2018
,24:00:00,41.58,30,20,150,70,,8/17/2018
,24:00:00,41.53,4,32,150,70,,8/18/2018
,24:00:00,48.33,33,26,150,70,,8/19/2018
,24:00:00,46.57,34,23,150,70,,8/20/2018
,24:00:00,49.9,34,28,150,70,,8/21/2018
,24:00:00,44.93,4,38,150,70,,8/22/2018
,24:00:00,41.6,35,38,150,70,,8/23/2018
,24:00:00,47.45,4,33,150,70,,8/24/2018
,24:00:00,49.36,4,13,150,70,,8/25/2018
,24:00:00,48.25,36,30,150,70,,8/26/2018
,24:00:00,38.83,36,33,150,70,,8/27/2018
,24:00:00,43.25,37,25,150,70,,8/28/2018
,24:00:00,43.24,37,15,150,70,,8/29/2018
,24:00:00,41.58,35,28,150,70,,8/30/2018
,24:00:00,58.28,4,38,150,70,,8/31/2018
,24:00:00,51.82,4,27,150,70,,9/1/2018
,24:00:00,46.57,37,40,150,70,,9/2/2018
,24:00:00,41.59,37,28,150,70,,9/3/2018
,24:00:00,41.19,37,23,150,70,,9/4/2018
,24:00:00,44.91,37,28,150,70,,9/5/2018
,24:00:00,43.88,74,40,150,70,,9/6/2018
,24:00:00,40,38,29,150,70,,9/8/2018
,24:00:00,49.75,38,28,150,70,,9/9/2018
,24:00:00,44.9,38,25,150,70,,9/10/2018
,24:00:00,44.92,38,25,150,70,,9/11/2018
,24:00:00,43.24,36,25,150,70,,9/12/2018
,24:00:00,41.59,34,30,150,70,,9/13/2018
,24:00:00,46.57,4,27,150,70,,9/14/2018
